captured_at,date,source_platform,source_type,location_text,normalized_area,normalized_micro_spot,shore_vs_boat,species_mentions,schooling_signal,surface_activity_signal,size_signal,method_mentions,evidence_confidence,raw_excerpt,url_or_reference
2026-04-14T22:10:06,2026-03-30,user_trip,trip_log,taroona,taroona,,unknown,australian_salmon,unknown,possible,unknown,metal,low,saw brief surface activity,trip_log:trips.csv
2026-04-14T22:10:06,2026-04-03,user_trip,trip_observation_raw,kangroo bluff,kangaroo_bluff,,unknown,mackerel,unknown,unknown,unknown,metal_lure,low,species assumed to mean true mackerel / 鲭鱼 unless later corrected,trip_observation_raw:user_trip_observations_raw_2026-04-05.csv
2026-04-14T22:10:06,2026-04-03,user_trip,trip_observation_raw,kangroo bluff,kangaroo_bluff,,unknown,australian_salmon;mackerel,unknown,unknown,unknown,metal_lure,low,species assumed to mean true mackerel / 鲭鱼 unless later corrected,trip_observation_raw:user_trip_observations_raw_2026-04-05.csv
