date,area_family,area_family_label,contributing_areas,pelagic_score,pelagic_signal_count,primary_pelagic_count,secondary_pelagic_count,schooling_boost_count,surface_boost_count,high_confidence_count,medium_confidence_count,low_confidence_count,shore_reports,boat_reports,top_species,pulse_level,weak_label
2026-04-03,tasmania_broad,Tasmania (broad),tasmania,0.0,1,0.0,0.0,0.0,0.0,0,0,1,0,0,,none,no pelagic signal detected
2026-04-04,derwent_bridge,Derwent Bridge / Hobart CBD,hobart,1.8,1,1.4,0.0,0.0,0.3,0,1,0,0,1,tuna,low,weak pelagic signal — tuna — Derwent Bridge / Hobart CBD
2026-04-04,east_coast,East Coast Tasmania,eaglehawk_neck,1.4,1,1.4,0.0,0.0,0.0,0,1,0,0,1,tuna,low,weak pelagic signal — tuna — East Coast Tasmania
2026-04-06,east_coast,East Coast Tasmania,binalong_bay,0.0,1,0.0,0.0,0.0,0.0,0,1,0,0,0,squid,none,no pelagic signal detected
2026-04-06,tasmania_broad,Tasmania (broad),tasmania,0.7,1,0.0,0.7,0.0,0.0,0,1,0,1,0,australian_salmon,low,weak pelagic signal — australian_salmon — Tasmania (broad)
2026-04-07,derwent_bridge,Derwent Bridge / Hobart CBD,tasmania,1.6,1,0.0,0.7,0.6,0.3,0,1,0,0,0,australian_salmon,low,weak pelagic signal — australian_salmon — Derwent Bridge / Hobart CBD
2026-04-08,tasmania_broad,Tasmania (broad),tasmania,0.0,1,0.0,0.0,0.0,0.0,0,1,0,0,0,gummy_shark,none,no pelagic signal detected
2026-04-10,tasmania_broad,Tasmania (broad),tasmania,0.6,1,0.0,0.0,0.6,0.0,0,1,0,0,0,snapper,low,weak pelagic signal — snapper — Tasmania (broad)
2026-04-11,derwent_bridge,Derwent Bridge / Hobart CBD,hobart,2.3,1,1.4,0.0,0.6,0.3,0,1,0,0,1,tuna,medium,moderate pelagic activity — tuna — Derwent Bridge / Hobart CBD
2026-04-12,derwent_bridge,Derwent Bridge / Hobart CBD,hobart,3.7,2,2.8,0.0,0.6,0.3,0,2,0,0,2,tuna,medium,moderate pelagic activity — tuna — Derwent Bridge / Hobart CBD
